name,dim,hidden,query_halfwidth,train_halfwidth,invert_alpha_best,psi_val_mse,G_val_mse,prior_rmse_route1,prior_rmse_route2,route1_median_prox_residual,route2_median_prox_residual,route1_median_fy_gap,route2_median_fy_gap,route1_max_preimage_linf,route2_max_preimage_linf,route2_frac_query_uncovered,min_inner_weight,error
quadratic_l1_2D,2,64,4.0,5.0,0.0,0.0011040203971788287,0.0012407776666805148,0.038142078551162695,0.05963237757643841,0.00012737156714837791,0.025608106406389143,-0.005910863573127534,0.0012864881556780006,5.461524486541748,4.993204593658447,0.0,0.0,
quadratic_l1_4D,4,64,4.0,5.0,0.0,0.02807817980647087,0.008215081878006458,0.1754732798489902,0.19249478841316425,0.0009020189231200991,0.04439406117656336,-0.01804916409607671,0.020206585210694072,5.732599258422852,4.880235195159912,0.0,0.0,
quadratic_l1_8D,8,128,4.0,5.0,0.1,0.5293777585029602,0.07918829470872879,1.0023175181894424,0.9012348449693279,0.13605074896327457,0.10163948352507804,0.05864685303935957,-0.07250208158811589,5.706204414367676,6.089753150939941,0.0,0.0,
negl1_2D,2,64,4.0,4.0,0.0,0.0020666413474828005,0.0013864684151485562,0.2744090086674687,0.22187355952469714,0.0005349369197805614,0.016724987001100318,-0.0018450180892068957,-0.0005367674349994189,2.926217555999756,3.0458505153656006,0.0,0.0,
negl1_4D,4,64,4.0,4.0,0.0,0.018974311649799347,0.006632063537836075,0.4999479790384569,0.5132816966229873,0.0023462804367856815,0.03142017748531853,0.01873525131865339,0.027343753491261502,3.044316530227661,3.187971830368042,0.0,0.0,
negl1_8D,8,128,4.0,4.0,0.0,0.08057986199855804,0.29704686999320984,0.7273989877067156,0.9396143103604536,0.0030079320687715167,0.10256756430174849,0.41143010436924854,0.5777285616637649,3.024693012237549,2.8554739952087402,0.0,0.0,
concave_quad_2D,2,64,4.0,4.0,0.0,0.00046608279808424413,0.0009243700769729912,0.03133148042248778,0.03732232189213469,0.0005203195601395155,0.023924251043240516,-0.0024212471175815153,0.00021495169766172495,1.9787101745605469,2.0315656661987305,0.0,0.0,
concave_quad_4D,4,64,4.0,4.0,0.1,0.007865339517593384,0.014100409112870693,0.06287397615476877,0.10215841828039322,0.05081305144490671,0.05362698283990508,-0.011130476421712387,-0.008562713124843135,1.893216609954834,2.1221671104431152,0.0,0.0,
concave_quad_8D,8,128,4.0,4.0,0.0,0.15710963308811188,0.4352557957172394,0.15920438738972775,0.4071618307150269,0.006009832681753223,0.09502862740303031,-0.20735980103538765,-0.10677982634580374,2.0540714263916016,2.3317160606384277,0.0,0.0,
minplus_2D,2,64,4.0,9.0,0.0,0.0015352364862337708,0.0010595009662210941,0.04279974116283232,0.0440475923800352,8.171158571794484e-06,0.010057632972921888,-0.0008852724441190674,-0.00029428856738888953,8.461804389953613,8.92863655090332,0.0,0.0,
minplus_4D,4,64,4.0,9.0,0.0,0.021458972245454788,0.030154414474964142,0.12061710327578358,0.11940953147600429,0.0009100079108524683,0.03595885714780832,-0.03000853867108333,-0.0032617882460872494,8.481436729431152,8.810013771057129,0.0,0.0,
minplus_8D,8,128,4.0,9.0,0.0,0.54984450340271,0.6242935657501221,0.5977067637724439,0.588288344108173,0.004025626472468194,0.07991639308590243,-0.26535299630619136,0.006220898347756076,9.181788444519043,8.854785919189453,0.0,0.0,
